2.036|0.929
4.394|0.923
6.16|0.955
8.558|0.931
10.279|0.996
12.567|0.902
14.851|0.919
17.124|0.955
19.516|0.944
21.333|0.933
22.902|0.973
25.239|0.982
27.545|0.963
30.035|0.975
31.644|0.944
33.293|0.937
34.972|0.969
36.98|0.924
38.989|0.996
40.549|0.926
42.895|0.964
45.001|0.921
47.337|0.94
49.684|0.942
51.196|0.958
53.502|0.982
55.824|0.901
57.599|0.972
59.926|0.961
61.983|0.924
64.228|0.933
66.439|0.95
68.895|0.903
70.755|0.948
72.896|0.972
74.523|0.947
76.648|0.918
79.086|0.913
81.395|0.98
83.656|0.917
85.424|0.924
87.262|0.934
89.346|0.915
91.36|0.901
93.13|0.991
95.457|0.948
97.764|0.96
99.71|0.928
102.201|0.973
104.07|0.925
105.764|0.938
107.831|0.904
110.217|0.951
112.111|0.946
114.462|0.902
116.456|0.958
118.892|0.929
120.75|0.924
123.173|0.954
125.227|0.982
126.973|0.929
129.139|0.977
131.033|0.97
132.537|0.934
134.761|0.914
137.029|0.934
139.249|0.936
141.341|0.958
143.35|0.924
145.317|0.937
147.226|0.996
149.42|0.947
151.801|0.937
153.995|0.936
156.283|0.967
158.492|0.943
160.99|0.929
162.694|0.935
164.345|0.965
166.656|0.923
168.93|0.929
170.837|0.915
172.463|0.908
174.863|0.988
177.077|0.952
178.629|0.928
180.951|0.904
183.061|0.901
184.975|0.948
187.322|0.985
189.135|0.953
191.273|0.976
193.7|0.979
195.621|0.972
198.021|0.98
199.724|0.941
201.706|0.903
204.142|0.931
205.866|0.93
208.266|0.932
210.65|0.956
212.485|0.915
214.592|0.971
216.997|0.923
218.638|0.918
220.695|0.914
223.107|0.946
225.342|0.988
227.255|0.931
229.141|0.92
231.14|0.972
233.028|0.995
235.335|0.958
237.36|0.928
239.75|0.916
242.018|0.962
243.987|0.996
246.017|0.931
247.777|0.911
250.156|0.917
251.679|0.979
253.923|0.949
256.382|0.971
257.933|0.94
259.541|0.947
261.901|0.981
264.004|0.913
265.808|0.934
267.587|0.951
269.246|0.925
271.199|0.959
272.864|0.999
274.83|0.911
276.601|0.928
278.964|0.909
280.571|0.997
282.093|0.933
284.239|0.916
286.209|0.957
287.909|0.947
290.156|0.913
291.669|0.959
293.849|0.986
296.24|0.942
298.372|0.958
300.75|0.964
302.422|0.916
304.629|0.939
306.222|0.909
308.05|0.901
